school_name,ad,pri_pub,active_stu,lat,lng,private,cath,chiris,pope
Tacoma Public Schools #10,F‐1,Public,154,47.2439606,-122.4656821,False,False,False,False
Fryeburg Academy,F‐1,"Private, non‐profit",154,44.01989280000001,-70.975353,True,False,False,False
Kent Intermediate School District,F‐1,Public,153,42.99644660000001,-85.5984549,False,False,False,False
Arroyo Pacific Academy,F‐1,"Private, for profit",153,34.1440105,-118.032094,True,False,False,False
St. Croix Lutheran Schools,F‐1,"Private, non‐profit",153,44.9094687,-93.0729321,True,False,False,False
Mercyhurst Preparatory School,F‐1,"Private, non‐profit",152,42.1010169,-80.0508412,True,False,False,False
Evangel Christian School,F‐1,"Private, non‐profit",151,40.7542097,-73.9371118,True,False,True,False
Phillips Academy,F‐1,"Private, non‐profit",150,42.6471655,-71.13227959999999,True,False,False,False
Shattuck‐St. Mary's School,F‐1,"Private, non‐profit",148,44.3022459,-93.260187,True,False,False,False
Saint Andrew's School,F‐1,"Private, non‐profit",147,26.384682,-80.14710749999999,True,False,False,False
Catholic Diocese of Richmond,F‐1,"Private, non‐profit",146,37.6304405,-77.5303386,True,False,False,False
Gulliver Schools,F‐1,"Private, unspecified",145,35.65431,-78.64354800000001,True,False,False,False
Southwestern Academy,F‐1,"Private, non‐profit",144,34.115132,-118.13225,True,False,False,False
Oakland Schools,F‐1,Public,144,42.6502594,-83.3313433,False,False,False,False
